   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       20    0.000    0.000    0.000    0.000 {built-in method builtins.all}
     2250    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       56    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        1    0.000    0.000  924.658  924.658 {built-in method builtins.exec}
    24327    0.028    0.000    0.052    0.000 {built-in method builtins.getattr}
     2251    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
     2832    0.002    0.000    0.003    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
     1242    0.000    0.000    0.000    0.000 {built-in method builtins.id}
7901775/7901735    1.314    0.000    1.316    0.000 {built-in method builtins.isinstance}
     1127    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
      910    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
    14907    0.003    0.000    0.003    0.000 {built-in method builtins.len}
       22    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.min}
     1127    0.001    0.000    0.004    0.000 {built-in method builtins.next}
      252    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       30    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      125    0.000    0.000    0.000    0.000 {built-in method builtins.round}
     4501    0.002    0.000    0.009    0.000 {built-in method builtins.setattr}
       25    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
     1137    0.001    0.000    0.001    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.000    0.000 {built-in method fcntl.ioctl}
       12    0.014    0.001    0.014    0.001 {built-in method io.open}
        8    0.000    0.000    0.000    0.000 {built-in method math.floor}
       95    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
       10    0.000    0.000    0.000    0.000 {built-in method now}
       10    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
       10    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       16    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
     1125    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
       27    0.000    0.000    0.000    0.000 {built-in method time.time}
        5    0.000    0.000    0.000    0.000 {built-in method torch._C._are_functorch_transforms_active}
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._get_operation_overload}
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._get_schema}
      140    0.000    0.000    0.000    0.000 {built-in method torch._C._get_tensor_metadata}
     2785    0.005    0.000    0.005    0.000 {built-in method torch._C._get_tracing_state}
      140    0.000    0.000    0.000    0.000 {built-in method torch._C._has_storage}
  7840880    1.408    0.000    1.408    0.000 {built-in method torch._C._has_torch_function_unary}
  7840500    1.612    0.000    1.612    0.000 {built-in method torch._C._has_torch_function}
  7840500   39.625    0.000   39.625    0.000 {built-in method torch._C._linalg.linalg_vector_norm}
       12    0.000    0.000    0.000    0.000 {built-in method torch._C._log_api_usage_once}
      250    0.059    0.000    0.059    0.000 {built-in method torch._C._nn.elu}
     1625    1.513    0.001    1.513    0.001 {built-in method torch._C._nn.linear}
       76    0.000    0.000    0.000    0.000 {built-in method torch._C._set_grad_enabled}
        2    0.000    0.000    0.000    0.000 {built-in method torch._C.get_all_records}
        2    0.005    0.002    0.005    0.002 {built-in method torch._C.get_record}
       28    0.026    0.001    0.026    0.001 {built-in method torch._C.get_storage_from_record}
       10    0.261    0.026    0.261    0.026 {built-in method torch._C.write_end_of_file}
      150    0.315    0.002    0.315    0.002 {built-in method torch._C.write_record}
     1135    0.015    0.000    0.015    0.000 {built-in method torch._ops.profiler._record_function_enter_new}
     1135    0.010    0.000    0.010    0.000 {built-in method torch._ops.profiler.}
      250    0.001    0.000    0.001    0.000 {built-in method torch.as_tensor}
     6000    0.971    0.000    0.971    0.000 {built-in method torch.cat}
    10125    0.043    0.000    0.043    0.000 {built-in method torch.cumsum}
      125    0.001    0.000    0.001    0.000 {built-in method torch.empty}
      125    0.102    0.001    0.102    0.001 {built-in method torch.exp}
     1125    0.112    0.000    0.112    0.000 {built-in method torch.full}
       95    0.000    0.000    0.000    0.000 {built-in method torch.is_complex}
      114    0.000    0.000    0.000    0.000 {built-in method torch.is_grad_enabled}
      125    0.330    0.003    0.330    0.003 {built-in method torch.matmul}
        5    0.002    0.000    0.002    0.000 {built-in method torch.ones_like}
  1960125   12.674    0.000   12.674    0.000 {built-in method torch.rsub}
      250    0.050    0.000    0.050    0.000 {built-in method torch.sin}
     1250    0.236    0.000    0.236    0.000 {built-in method torch.tanh}
    10422    0.124    0.000    0.124    0.000 {built-in method torch.tensor}
      288    0.811    0.003    0.811    0.003 {built-in method torch.zeros_like}
       25    0.007    0.000    0.007    0.000 {built-in method torch.zeros}
     1037    0.000    0.000    0.000    0.000 {built-in method unicodedata.east_asian_width}
        2    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f1b7ee0bce0}
       36    0.000    0.000    0.000    0.000 {function _ParameterMeta.__instancecheck__ at 0x7f1b0fba2fc0}
        4    0.000    0.000    0.000    0.000 {function _load.<locals>.UnpicklerWrapper.find_class at 0x7f1af3427920}
     7875    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
       15    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       10    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
       15    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       15    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
     1135    0.000    0.000    0.000    0.000 {method '__exit__' of 'torch._C.DisableTorchFunctionSubclass' objects}
      140    0.000    0.000    0.000    0.000 {method '__getstate__' of 'object' objects}
       15    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
       16    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      111    0.009    0.000    0.009    0.000 {method 'acquire' of '_thread.lock' objects}
       24    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       95    0.073    0.001    0.073    0.001 {method 'add' of 'torch._C._TensorBase' objects}
      190    0.033    0.000    0.033    0.000 {method 'add_' of 'torch._C._TensorBase' objects}
       95    0.023    0.000    0.023    0.000 {method 'addcdiv_' of 'torch._C._TensorBase' objects}
       95    0.019    0.000    0.019    0.000 {method 'addcmul_' of 'torch._C._TensorBase' objects}
       55    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
     9841    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      125    0.041    0.000    0.041    0.000 {method 'clamp' of 'torch._C._TensorBase' objects}
        2    0.000    0.000    0.000    0.000 {method 'clear' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
       95    0.000    0.000    0.000    0.000 {method 'conj' of 'torch._C._TensorBase' objects}
       28    0.009    0.000    0.009    0.000 {method 'copy_' of 'torch._C._TensorBase' objects}
      588    0.000    0.000    0.000    0.000 {method 'data_ptr' of 'torch._C.StorageBase' objects}
      140    0.000    0.000    0.000    0.000 {method 'data_ptr' of 'torch._C._TensorBase' objects}
      140    0.001    0.000    0.001    0.000 {method 'detach' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
    10410    0.005    0.000    0.005    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       10    0.064    0.006    0.080    0.008 {method 'dump' of '_pickle.Pickler' objects}
       14    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       14    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      250    0.004    0.000    0.004    0.000 {method 'expand_as' of 'torch._C._TensorBase' objects}
      219    0.000    0.000    0.001    0.000 {method 'format' of 'str' objects}
     9976    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      161    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       10    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.BytesIO' objects}
      140    0.000    0.000    0.000    0.000 {method 'has_names' of 'torch._C._TensorBase' objects}
      125    0.802    0.006    0.802    0.006 {method 'index_select' of 'torch._C._TensorBase' objects}
     7875    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
      230    0.001    0.000    0.001    0.000 {method 'item' of 'torch._C._TensorBase' objects}
      776    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
     3447    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1125    0.001    0.000    0.001    0.000 {method 'items' of 'mappingproxy' objects}
       16    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {method 'keys' of 'collections.OrderedDict' objects}
     4537    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
        2    0.001    0.001    0.030    0.015 {method 'load' of '_pickle.Unpickler' objects}
        2    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      190    0.031    0.000    0.031    0.000 {method 'mul_' of 'torch._C._TensorBase' objects}
      280    0.000    0.000    0.000    0.000 {method 'nbytes' of 'torch._C.StorageBase' objects}
    10125    0.029    0.000    0.029    0.000 {method 'new_empty' of 'torch._C._TensorBase' objects}
      125    0.162    0.001    0.162    0.001 {method 'new_ones' of 'torch._C._TensorBase' objects}
      250    0.093    0.000    0.093    0.000 {method 'new_zeros' of 'torch._C._TensorBase' objects}
        5    0.000    0.000    0.000    0.000 {method 'numel' of 'torch._C._TensorBase' objects}
     1125    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
  5880625   23.968    0.000   23.968    0.000 {method 'pow' of 'torch._C._TensorBase' objects}
        8    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
      125    0.001    0.000    0.001    0.000 {method 'random_' of 'torch._C._TensorBase' objects}
        8    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       15    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
       16    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       14    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        3    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
       20    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      125    0.003    0.000    0.003    0.000 {method 'reshape' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        5  674.682  134.936  674.682  134.936 {method 'run_backward' of 'torch._C._EngineBase' objects}
      250    0.245    0.001    0.245    0.001 {method 'scatter_add_' of 'torch._C._TensorBase' objects}
        2    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
       28    0.001    0.000    0.001    0.000 {method 'set_' of 'torch._C._TensorBase' objects}
      140    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
    25640    0.015    0.000    0.015    0.000 {method 'size' of 'torch._C._TensorBase' objects}
       97    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       95    0.073    0.001    0.073    0.001 {method 'sqrt' of 'torch._C._TensorBase' objects}
      284    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      140    0.000    0.000    0.000    0.000 {method 'storage_offset' of 'torch._C._TensorBase' objects}
      140    0.000    0.000    0.000    0.000 {method 'stride' of 'torch._C._TensorBase' objects}
       10    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      250    0.712    0.003    0.712    0.003 {method 'sum' of 'torch._C._TensorBase' objects}
        4    0.000    0.000    0.000    0.000 {method 'tell' of '_io.BufferedReader' objects}
      285   12.670    0.044   12.670    0.044 {method 'unbind' of 'torch._C._TensorBase' objects}
      500    0.003    0.000    0.003    0.000 {method 'unsqueeze' of 'torch._C._TensorBase' objects}
      168    0.000    0.000    0.000    0.000 {method 'untyped_storage' of 'torch._C._TensorBase' objects}
       12    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
     1399    0.001    0.000    0.001    0.000 {method 'values' of 'collections.OrderedDict' objects}
     9000    0.002    0.000    0.002    0.000 {method 'values' of 'dict' objects}
      875    0.011    0.000    0.011    0.000 {method 'view' of 'torch._C._TensorBase' objects}
       10    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedWriter' objects}
       14    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
