   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      125    0.000    0.000    0.001    0.000 data.py:805(edge_index)
      125    0.000    0.000    0.001    0.000 data.py:813(edge_attr)
     1125    0.003    0.000    1.769    0.002 dataloader.py:17(__call__)
      125    0.000    0.000    0.009    0.000 dataloader.py:383(_get_iterator)
      125    0.000    0.000    0.009    0.000 dataloader.py:428(__iter__)
      250    0.000    0.000    0.000    0.000 dataloader.py:443(_auto_collation)
      125    0.000    0.000    0.000    0.000 dataloader.py:447(_index_sampler)
      125    0.002    0.000    0.006    0.000 dataloader.py:567(__init__)
     1125    0.001    0.000    0.004    0.000 dataloader.py:622(_next_index)
     1125    0.009    0.000    1.836    0.002 dataloader.py:628(__next__)
      125    0.001    0.000    0.008    0.000 dataloader.py:661(__init__)
     1125    0.003    0.000    1.781    0.002 dataloader.py:675(_next_data)
      125    0.000    0.000    0.001    0.000 dataloader.py:74(create_fetcher)
      125    0.000    0.000    0.001    0.000 dataloader.py:98(_get_distributed_settings)
      125    0.000    0.000    0.000    0.000 distributed_c10d.py:323(default_pg)
      125    0.000    0.000    0.000    0.000 distributed_c10d.py:403(WORLD)
      125    0.000    0.000    0.000    0.000 distributed_c10d.py:683(is_initialized)
     7875    0.002    0.000    0.002    0.000 enum.py:1091(__new__)
     7875    0.005    0.000    0.007    0.000 enum.py:686(__call__)
     1125    0.001    0.000    0.003    0.000 feature_store.py:260(__init__)
     1125    0.004    0.000    1.774    0.002 fetch.py:46(fetch)
     1125    0.001    0.000    0.001    0.000 fetch.py:51(<listcomp>)
      125    0.000    0.000    0.000    0.000 fetch.py:8(__init__)
       10    0.000    0.000    0.000    0.000 format.py:196(_check_version)
       10    0.000    0.000    0.000    0.000 format.py:201(magic)
       10    0.000    0.000    0.000    0.000 format.py:243(dtype_to_descr)
       10    0.000    0.000    0.000    0.000 format.py:338(header_data_from_array_1_0)
       10    0.000    0.000    0.000    0.000 format.py:366(_wrap_header)
       10    0.000    0.000    0.000    0.000 format.py:390(_wrap_header_guess_version)
       10    0.000    0.000    0.000    0.000 format.py:414(_write_array_header)
       10    0.000    0.000    0.021    0.002 format.py:666(write_array)
  7840500   20.370    0.000   62.702    0.000 functional.py:1387(norm)
      250    0.001    0.000    0.060    0.000 functional.py:1538(elu)
        1    0.000    0.000    0.000    0.000 functools.py:393(__get__)
      250    0.562    0.002    0.672    0.003 gaussian_process.py:5(eval_u_t)
      125    0.050    0.000    5.223    0.042 gca.py:126(decoder)
      125    0.001    0.000    5.224    0.042 gca.py:156(forward)
      125    0.107    0.001    4.462    0.036 gmm_conv.py:130(forward)
      125    1.298    0.010    2.490    0.020 gmm_conv.py:154(message)
       76    0.000    0.000    0.000    0.000 grad_mode.py:149(__init__)
       33    0.000    0.000    0.000    0.000 grad_mode.py:48(__init__)
       33    0.000    0.000    0.000    0.000 grad_mode.py:53(__enter__)
       33    0.000    0.000    0.000    0.000 grad_mode.py:57(__exit__)
     2250    0.002    0.000    0.002    0.000 graph_store.py:110(__init__)
      140    0.000    0.000    0.000    0.000 hooks.py:82(warn_if_has_hooks)
     1125    0.003    0.000    0.004    0.000 inspect.py:167(get_annotations)
     1125    0.023    0.000    0.068    0.000 inspect.py:2333(_signature_from_function)
     1125    0.011    0.000    0.084    0.000 inspect.py:2428(_signature_from_callable)
     7875    0.017    0.000    0.027    0.000 inspect.py:2686(__init__)
     7875    0.001    0.000    0.001    0.000 inspect.py:2739(name)
     5625    0.001    0.000    0.001    0.000 inspect.py:2743(default)
     1125    0.006    0.000    0.011    0.000 inspect.py:2972(__init__)
     9000    0.004    0.000    0.005    0.000 inspect.py:3019(<genexpr>)
     1125    0.002    0.000    0.086    0.000 inspect.py:3024(from_callable)
     1125    0.000    0.000    0.000    0.000 inspect.py:3032(parameters)
     1125    0.002    0.000    0.088    0.000 inspect.py:3278(signature)
     2250    0.001    0.000    0.001    0.000 inspect.py:378(isfunction)
     1125    0.002    0.000    0.004    0.000 inspect.py:735(unwrap)
     1125    0.001    0.000    0.001    0.000 inspect.py:755(_is_wrapper)
      375    0.004    0.000    0.004    0.000 inspector.py:52(distribute)
       41    0.000    0.000    0.000    0.000 iostream.py:127(_event_pipe)
       41    0.000    0.000    0.003    0.000 iostream.py:243(schedule)
        1    0.000    0.000    0.000    0.000 iostream.py:348(fileno)
       14    0.000    0.000    0.000    0.000 iostream.py:505(_is_master_process)
       14    0.000    0.000    0.001    0.000 iostream.py:532(_schedule_flush)
       14    0.000    0.000    0.012    0.001 iostream.py:547(flush)
       14    0.000    0.000    0.001    0.000 iostream.py:610(write)
     1500    0.006    0.000    1.454    0.001 linear.py:113(forward)
      125    0.001    0.000    0.067    0.001 linear.py:127(forward)
       10    0.000    0.000    0.000    0.000 linear.py:143(_save_to_state_dict)
        2    0.000    0.000    0.000    0.000 linear.py:155(_lazy_load_hook)
       14    0.000    0.000    0.000    0.000 linear.py:17(is_uninitialized_parameter)
       10    0.000    0.000    0.000    0.000 lr_scheduler.py:113(print_lr)
        5    0.000    0.000    0.000    0.000 lr_scheduler.py:127(step)
        5    0.000    0.000    0.000    0.000 lr_scheduler.py:164(<listcomp>)
        5    0.000    0.000    0.000    0.000 lr_scheduler.py:175(__init__)
        5    0.000    0.000    0.000    0.000 lr_scheduler.py:178(__enter__)
        5    0.000    0.000    0.000    0.000 lr_scheduler.py:182(__exit__)
        5    0.000    0.000    0.000    0.000 lr_scheduler.py:435(get_lr)
        5    0.000    0.000    0.000    0.000 lr_scheduler.py:441(<listcomp>)
        5    0.000    0.000    1.091    0.218 lr_scheduler.py:64(wrapper)
      125    0.001    0.000    0.003    0.000 message_passing.py:202(_check_input)
      250    0.000    0.000    0.001    0.000 message_passing.py:240(_set_size)
      125    0.003    0.000    0.805    0.006 message_passing.py:249(_lift)
      125    0.007    0.000    0.813    0.007 message_passing.py:317(_collect)
      125    0.008    0.000    3.955    0.032 message_passing.py:382(propagate)
      250    0.000    0.000    0.000    0.000 message_passing.py:552(explain)
      125    0.002    0.000    0.635    0.005 message_passing.py:595(aggregate)
      125    0.000    0.000    0.000    0.000 message_passing.py:625(update)
 2375/375    0.011    0.000    6.294    0.017 module.py:1494(_call_impl)
     5032    0.006    0.000    0.006    0.000 module.py:1601(__getattr__)
       22    0.000    0.000    0.000    0.000 module.py:1617(__setattr__)
      100    0.001    0.000    0.001    0.000 module.py:1708(_save_to_state_dict)
   110/10    0.001    0.000    0.002    0.000 module.py:1748(state_dict)
       22    0.001    0.000    0.010    0.000 module.py:1875(_load_from_state_dict)
       22    0.000    0.000    0.000    0.000 module.py:1911(<dictcomp>)
       22    0.000    0.000    0.000    0.000 module.py:1913(<dictcomp>)
        2    0.000    0.000    0.011    0.006 module.py:1969(load_state_dict)
     22/2    0.001    0.000    0.011    0.006 module.py:2007(load)
       20    0.000    0.000    0.000    0.000 module.py:2014(<dictcomp>)
       42    0.000    0.000    0.000    0.000 module.py:2167(children)
       42    0.000    0.000    0.000    0.000 module.py:2176(named_children)
     22/2    0.000    0.000    0.001    0.000 module.py:2269(train)
        2    0.000    0.000    0.000    0.000 module.py:64(__call__)
      125    0.001    0.000    5.225    0.042 network.py:131(solo_decoder)
      125    0.000    0.000    5.225    0.042 network.py:152(forward)
      250    0.007    0.000    1.065    0.004 network.py:174(forward)
       10    0.000    0.000    0.000    0.000 npyio.py:471(_save_dispatcher)
       10    0.000    0.000    0.034    0.003 npyio.py:475(save)
        5    0.000    0.000    0.000    0.000 optimizer.py:228(_cuda_graph_capture_health_check)
        5    0.000    0.000    0.000    0.000 optimizer.py:249(_optimizer_step_code)
        5    0.000    0.000    1.091    0.218 optimizer.py:265(wrapper)
        5    0.000    0.000    1.091    0.218 optimizer.py:29(_use_grad)
       95    0.000    0.000    0.001    0.000 optimizer.py:39(_get_value)
        5    0.000    0.000    0.001    0.000 optimizer.py:435(zero_grad)
       95    0.000    0.000    0.000    0.000 optimizer.py:52(_dispatch_sqrt)
       10    0.000    0.000    0.000    0.000 optimizer.py:64(_default_to_fused_or_foreach)
       20    0.000    0.000    0.000    0.000 optimizer.py:72(<genexpr>)
       28    0.000    0.000    0.000    0.000 overrides.py:1750(is_tensor_like)
       28    0.000    0.000    0.000    0.000 parameter.py:161(is_lazy)
       36    0.000    0.000    0.000    0.000 parameter.py:8(__instancecheck__)
     1135    0.004    0.000    0.006    0.000 profiler.py:482(__init__)
     1135    0.002    0.000    0.019    0.000 profiler.py:491(__enter__)
     1135    0.008    0.000    0.021    0.000 profiler.py:495(__exit__)
        1    0.000    0.000    0.000    0.000 random.py:119(__init__)
        1    0.000    0.000    0.000    0.000 random.py:128(seed)
        1    0.000    0.000    0.000    0.000 random.py:480(choices)
        1    0.000    0.000    0.000    0.000 random.py:493(<listcomp>)
     1250    0.002    0.000    0.003    0.000 sampler.py:241(__iter__)
      125    0.000    0.000    0.000    0.000 sampler.py:75(__iter__)
      250    0.002    0.000    0.009    0.000 scatter.py:18(broadcast)
      125    0.077    0.001    0.627    0.005 scatter.py:23(scatter)
       56    0.000    0.000    0.000    0.000 serialization.py:1062(_maybe_decode_ascii)
        2    0.000    0.000    0.000    0.000 serialization.py:1074(_get_restore_location)
       28    0.000    0.000    0.000    0.000 serialization.py:1085(restore_location)
        2    0.000    0.000    0.000    0.000 serialization.py:1097(__init__)
        2    0.000    0.000    0.034    0.017 serialization.py:1104(_load)
       28    0.000    0.000    0.027    0.001 serialization.py:1109(load_tensor)
       28    0.000    0.000    0.027    0.001 serialization.py:1125(persistent_load)
        2    0.000    0.000    0.000    0.000 serialization.py:1154(UnpicklerWrapper)
        6    0.000    0.000    0.000    0.000 serialization.py:1158(find_class)
        2    0.000    0.000    0.000    0.000 serialization.py:1179(_is_torchscript_zip)
      140    0.000    0.000    0.000    0.000 serialization.py:137(_cpu_tag)
       28    0.000    0.000    0.000    0.000 serialization.py:157(_cpu_deserialize)
      140    0.000    0.000    0.000    0.000 serialization.py:206(location_tag)
       28    0.000    0.000    0.000    0.000 serialization.py:215(default_restore_location)
       12    0.000    0.000    0.000    0.000 serialization.py:235(_is_path)
       14    0.000    0.000    0.000    0.000 serialization.py:240(__init__)
       14    0.000    0.000    0.000    0.000 serialization.py:243(__enter__)
        2    0.000    0.000    0.000    0.000 serialization.py:246(__exit__)
        2    0.000    0.000    0.003    0.002 serialization.py:251(__init__)
        2    0.000    0.000    0.000    0.000 serialization.py:254(__exit__)
        2    0.000    0.000    0.003    0.002 serialization.py:269(_open_file_like)
        2    0.002    0.001    0.002    0.001 serialization.py:282(__init__)
       10    0.041    0.004    0.041    0.004 serialization.py:287(__init__)
       10    0.000    0.000    0.261    0.026 serialization.py:290(__exit__)
       10    0.000    0.000    0.041    0.004 serialization.py:309(_open_zipfile_writer)
       12    0.000    0.000    0.000    0.000 serialization.py:361(_check_dill_version)
       10    0.000    0.000    0.000    0.000 serialization.py:381(_check_save_filelike)
       10    0.000    0.000    0.714    0.071 serialization.py:388(save)
       10    0.015    0.002    0.411    0.041 serialization.py:592(_save)
     3350    0.004    0.000    0.007    0.000 serialization.py:602(persistent_id)
        2    0.000    0.000    0.000    0.000 serialization.py:66(_is_zipfile)
        2    0.000    0.000    0.040    0.020 serialization.py:671(load)
       41    0.002    0.000    0.002    0.000 socket.py:543(send)
      500    0.002    0.000    0.003    0.000 sparse.py:56(is_torch_sparse_tensor)
      250    0.001    0.000    0.002    0.000 sparse.py:73(is_sparse)
       15    0.000    0.000    0.000    0.000 std.py:102(acquire)
       15    0.000    0.000    0.000    0.000 std.py:106(release)
        4    0.000    0.000    0.000    0.000 std.py:110(__enter__)
        4    0.000    0.000    0.000    0.000 std.py:113(__exit__)
        1    0.000    0.000    0.000    0.000 std.py:1148(__del__)
       12    0.000    0.000    0.002    0.000 std.py:1151(__str__)
        2    0.000    0.000    0.000    0.000 std.py:1154(_comparable)
        2    0.000    0.000    0.000    0.000 std.py:1158(__hash__)
        1    0.000    0.000    0.001    0.001 std.py:116(create_mp_lock)
        6    0.000    0.000    0.007    0.001 std.py:1161(__iter__)
        5    0.000    0.000    0.006    0.001 std.py:1199(update)
        2    0.000    0.000    0.001    0.000 std.py:1266(close)
        2    0.000    0.000    0.000    0.000 std.py:1287(fp_write)
        1    0.000    0.000    0.000    0.000 std.py:1302(<lambda>)
       11    0.000    0.000    0.013    0.001 std.py:1326(refresh)
        5    0.000    0.000    0.005    0.001 std.py:1403(set_postfix)
       15    0.000    0.000    0.000    0.000 std.py:1429(<genexpr>)
       12    0.000    0.000    0.000    0.000 std.py:1447(format_dict)
       12    0.000    0.000    0.013    0.001 std.py:1465(display)
       12    0.000    0.000    0.000    0.000 std.py:153(__init__)
       12    0.000    0.000    0.000    0.000 std.py:163(colour)
       12    0.000    0.000    0.000    0.000 std.py:167(colour)
       12    0.000    0.000    0.000    0.000 std.py:186(__format__)
        3    0.000    0.000    0.000    0.000 std.py:226(__init__)
       39    0.000    0.000    0.000    0.000 std.py:231(__call__)
       22    0.000    0.000    0.000    0.000 std.py:400(format_interval)
       10    0.000    0.000    0.000    0.000 std.py:422(format_num)
        1    0.000    0.000    0.003    0.003 std.py:441(status_printer)
       12    0.000    0.000    0.010    0.001 std.py:454(fp_write)
       12    0.000    0.000    0.011    0.001 std.py:460(print_status)
       12    0.001    0.000    0.001    0.000 std.py:467(format_meter)
        1    0.000    0.000    0.001    0.001 std.py:666(__new__)
        1    0.000    0.000    0.000    0.000 std.py:682(_get_free_pos)
        1    0.000    0.000    0.000    0.000 std.py:685(<setcomp>)
        1    0.000    0.000    0.000    0.000 std.py:689(_decr_instances)
        1    0.000    0.000    0.001    0.001 std.py:763(get_lock)
        1    0.000    0.000    0.001    0.001 std.py:90(__init__)
        1    0.000    0.000    0.006    0.006 std.py:953(__init__)
        1    0.000    0.000    0.000    0.000 std.py:98(<listcomp>)
        2    0.000    0.000    0.000    0.000 storage.py:1020(_get_dtype_from_pickle_storage_type)
    16500    0.009    0.000    0.009    0.000 storage.py:103(__getitem__)
     6750    0.008    0.000    0.048    0.000 storage.py:106(__setitem__)
     2250    0.003    0.000    0.004    0.000 storage.py:164(keys)
     2250    0.003    0.000    0.004    0.000 storage.py:170(items)
        1    0.000    0.000    0.000    0.000 storage.py:248(_dtype_to_storage_type_map)
     1125    0.006    0.000    0.011    0.000 storage.py:273(can_infer_num_nodes)
        1    0.000    0.000    0.000    0.000 storage.py:275(_storage_type_to_dtype_map)
        1    0.000    0.000    0.000    0.000 storage.py:277(<dictcomp>)
     2250    0.014    0.000    0.030    0.000 storage.py:287(num_nodes)
      336    0.000    0.000    0.000    0.000 storage.py:355(__new__)
      336    0.000    0.000    0.001    0.000 storage.py:427(__init__)
     1125    0.004    0.000    0.010    0.000 storage.py:55(__init__)
     2250    0.000    0.000    0.000    0.000 storage.py:554(_key)
      140    0.000    0.000    0.000    0.000 storage.py:648(_element_size)
     9000    0.009    0.000    0.052    0.000 storage.py:67(_pop_cache)
     9000    0.018    0.000    0.024    0.000 storage.py:74(__getattr__)
      140    0.000    0.000    0.001    0.000 storage.py:752(_size)
      140    0.000    0.000    0.000    0.000 storage.py:762(_pickle_storage_type)
       28    0.000    0.000    0.000    0.000 storage.py:778(_data_ptr)
     7875    0.012    0.000    0.040    0.000 storage.py:84(__setattr__)
        1    0.000    0.000    0.001    0.001 synchronize.py:191(__init__)
        1    0.000    0.000    0.001    0.001 synchronize.py:50(__init__)
        1    0.000    0.000    0.000    0.000 synchronize.py:90(_make_methods)
        1    0.000    0.000    0.000    0.000 tempfile.py:142(rng)
        1    0.000    0.000    0.000    0.000 tempfile.py:153(__next__)
       55    0.000    0.000    0.000    0.000 threading.py:1118(_wait_for_tstate_lock)
       28    0.000    0.000    0.000    0.000 threading.py:1161(ident)
       55    0.000    0.000    0.000    0.000 threading.py:1185(is_alive)
        1    0.000    0.000    0.000    0.000 threading.py:1199(daemon)
        1    0.000    0.000    0.000    0.000 threading.py:1214(daemon)
        1    0.000    0.000    0.000    0.000 threading.py:1317(_make_invoke_excepthook)
       15    0.000    0.000    0.000    0.000 threading.py:1446(current_thread)
       16    0.000    0.000    0.000    0.000 threading.py:236(__init__)
       15    0.000    0.000    0.000    0.000 threading.py:264(__enter__)
       15    0.000    0.000    0.000    0.000 threading.py:267(__exit__)
       14    0.000    0.000    0.000    0.000 threading.py:273(_release_save)
       14    0.000    0.000    0.000    0.000 threading.py:276(_acquire_restore)
       14    0.000    0.000    0.000    0.000 threading.py:279(_is_owned)
       14    0.000    0.000    0.009    0.001 threading.py:288(wait)
       16    0.000    0.000    0.000    0.000 threading.py:555(__init__)
       57    0.000    0.000    0.000    0.000 threading.py:568(is_set)
       15    0.000    0.000    0.010    0.001 threading.py:604(wait)
        1    0.000    0.000    0.000    0.000 threading.py:804(_newname)
        1    0.000    0.000    0.000    0.000 threading.py:849(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:938(start)
      125    0.013    0.000    1.858    0.015 training.py:117(get_data)
      125  103.512    0.828  226.792    1.814 training.py:123(physics_loss)
        1    9.143    9.143  922.356  922.356 training.py:7(train)
        7    0.000    0.000    0.000    0.000 typing.py:1245(_is_dunder)
        1    0.000    0.000    0.000    0.000 typing.py:1258(__init__)
